Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
LanguagePresence,ResourceLanguage,5,Language(s) used within the datasets.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:language//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Resource Language is present'}",nor,5
LanguagePresence,MetadataLanguage,5,Language in which the metadata elements are expressed,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata/gmd:language/gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Metadata language is present'}",nor,5
LanguageEnglish,English,5,Default language OR one of the alternate languages is English,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata //gmd:locale//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 'eng', 'operator': 'is', 'description': 'Default language of the Metadata OR one of its alternate languages is English'}",eng,5
availability,daysOfAvailabilityMetrics,0,For how many days availability statistics and interruptions are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfAvailabilityMetrics', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",180,5
availability,daysOfResponseTimeMetrics,0,For how many days response time metrics are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfResponseTimeMetrics', 'value': 'text'}","{'type': 'presence', 'descripiton': 'Checks presence'}",14,5
availability,serviceId,0,Service ID,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceId', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",157353,5
availability,availability_ok_ms,1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//ok', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",15142735300,5
availability,availability_down_ms,1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//down', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",205113261,5
availability,availability_maintenance_ms,1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//maintenance', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",0,5
availability,availability,8,Contains the number of milliseconds the service has been in available (meaning ok or in maintenance state) during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '(//services//availability//total//ok + //services//availability//total//maintenance) div (//services//availability//total//ok + //services//availability//total//maintenance + //services//availability//total//down)', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.95, 'operator': '>', 'description': 'We assume the service should be available state at least 95% of the time from when the statistics are calculated. Availability = (ok + maintenance) / (ok + down + maintenance)'}",0,1
availability,interruptions_longest,4,The length in milliseconds of the longest interruption during or overlapping 'daysOfAvailabilityMetrics',"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//longest', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 86400000, 'operator': '<', 'description': 'We assume it should be at most 24h. Null if no monitoring data is available for the period.'}",600489,5
availability,interruptions_average,4,The average length of service interruptions during or overlapping 'daysOfAvailabilityMetrics',"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//average', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 43200000, 'operator': '<', 'description': 'We assume it should be at most 12h. Null if no monitoring data is available for the period.'}",4896459.935483871,5
availability,responseTimeAverage,4,Average response time (in milliseconds) of service during 'daysOfResponseTimeMetrics'.,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//averageMillis', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 21600000, 'operator': '<', 'description': 'We assume it should be at most 6h. Null if no monitoring data is available for the period.'}",581.7670722622299,5
availability,responseTimeLatestAt,4,Timestamp of latest monitoring request (in milliseconds since epoch).,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//latest//at', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of timestamp. Null if no monitoring data is available for the period.'}",1678980899957,5
