Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
Keywords,Keywords Presence,5,Keywords should be specified.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:Keywords', 'value': 'text'}","{'type': 'presence', 'description': 'Keywords are present.'}",WCS MDS Modelo Digital de Superficies Descarga Download IGN Instituto Geográfico Nacional CNIG España Spain infoCoverageAccessService PNOA-LiDAR,5
Title,Title.,5,Title.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:ServiceIdentification//ows:Title', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",Download Service for INSPIRE Buildings,5
Description,Abstract.,5,Abstract.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//ows:ServiceIdentification//ows:Abstract', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}","Limited dataset for test purpose. Direct Access Download Service. Norwegian
            Buildings for INSPIRE",5
Language Presence,Resource Language,5,Language(s) used within the datasets.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:language//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Resource Language is present'}",nor,5
Language Presence,Metadata Language,5,Language in which the metadata elements are expressed,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata/gmd:language/gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Metadata language is present'}",nor,5
English Language,English,5,Default language OR one of the alternate languages is English,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata //gmd:locale//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 'eng', 'operator': 'is', 'description': 'Default language of the Metadata OR one of its alternate languages is English'}",eng,5
Availability,Days Of Availability Metrics,0,For how many days availability statistics and interruptions are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfAvailabilityMetrics', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",180,5
Availability,Days Of Response Time Metrics,0,For how many days response time metrics are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfResponseTimeMetrics', 'value': 'text'}","{'type': 'presence', 'descripiton': 'Checks presence'}",14,5
Availability,Service Id,0,Service ID,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceId', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",157353,5
Availability,Availability ok (ms),1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//ok', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",15161075306,5
Availability,Availability down (ms),1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//down', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",187722803,5
