Use case,Data,Data dimension,Country/Dataset,National data accessibility and integration arrangements ,Comment / National data accessibility and integration arrangements ,metadata discoverability ,Comment / metadata discoverability ,data accessibility ,Comment / data accessibility ,Vocabulary      and data specifications,Comment / Vocabulary      and data specifications,Data content and data quality ,Comment / Data content and data quality ,Quality assessment (QA),Comment / Quality assessment (QA),Date uptade
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),2D,Finland,1,(Open data; no national platform),1,(no DCAT AP),3,(OGC API),1,(definitions available but not MR),1,(national schema),1,(QA available but not published),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),3D,Finland,1,(Open data; no national platform),0,(no metadata),1,no API,1,(definitions available but not MR),1,(data content limited),0,(no QA),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),2D,Norway,0,(not considered as open data),3,(DCAT AP),2,(WFS but not OGC API),2,,2,,1,(QA available but not published),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),3D,Norway,0,,0,,0,,0,,0,,0,,07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),2D,Netherlands,2,(Open data; national platform),2,(no DCAT AP),2,(WFS but not OGC API),2,(definitions available with RDF),1,(national schema),1,(QA available but not published),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),3D,Netherlands,2,(Open data; national  platform),2,(no DCAT AP),1,(downloads; OGC API coming soon)  ,1,(definitions available but not MR),1,(national schema),0,(no QA),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),2D,Spain,1,(Open data; no national  platform),2,(DCAT AP),2,(WFS but not OGC API),1,(definitions available but not MR),2,(INSPIRE schema),1,(QA available but not published),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),3D,Spain,1,(Open data; no national  platform),0,(no metadata),2,(national API with KLM format),1,(definitions available but not MR),1,(national schema),0,(no QA),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),2D,Estonia,1,(Open data; no national  platform),1,(no DCAT AP),2,(WFS but not OGC API),1,(definitions available but not MR),1,(national schema),1,(QA available but not published),07/12/2022
1 : Solar energy potential and energy efficiency of buildings ,Buildings (2D and 3D),3D,Estonia,1,(Open data; no national  platform),0,(no metadata),1,no API,1,(definitions available but not MR),1,(data content limited),0,(no QA),07/12/2022
