Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
Keywords,Keywords Presence,5,Keywords should be specified.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:descriptiveKeywords//gmd:keywords', 'value': 'text'}","{'type': 'presence', 'description': 'Keywords are present.'}",,0.0
Title,Title.,5,Title,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:identificationInfo//gmd:title//gco:CharacterString', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}","INSPIRE Buildings WFS COMMISSION REGULATION (EC) No 1205/2008 of 3 December 2008 implementing Directive 2007/2/EC of the European Parliament and of the Council as regards metadata, Part D 4, Classification of Spatial Data Services",5.0
Description,Abstract.,5,Abstract.,"{'type': 'xpath', 'source': 'service-metadata', 'rule': '//gmd:identificationInfo//gmd:abstract//gco:CharacterString', 'value': 'text'}","{'type': 'presence', 'description': 'Checks that the property is set.'}",Norwegian Download service for INSPIRE Buildings.,5.0
Currentness (UC),Date Of Creation (UC),5,Date of creation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='creation']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2015-01-01', 'maximum': '2023-01-01', 'description': 'Date of creation should be included in user requested period'}",0001-01-01,1.0
Currentness (UC),Date Of Publication (UC),5,Date of publication,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='publication']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2016-01-01', 'maximum': '2023-01-01', 'description': 'Date of publication should be included in user requested period'}",2017-01-15,2.0
Currentness (UC),Date Of Revision (UC),5,Date of revision declared in the Metadata,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='revision']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2022-01-01', 'maximum': '2023-01-01', 'description': 'Date of last revision should be included in user requested period'}",2022-10-10,3.0
Language Presence,Resource Language,5,Language(s) used within the datasets.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:language//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Resource Language is present'}",nor,5.0
Language Presence,Metadata Language,5,Language in which the metadata elements are expressed,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata/gmd:language/gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'presence', 'description': 'Metadata language is present'}",nor,5.0
English Language,English,5,Default language OR one of the alternate languages is English,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata //gmd:locale//gmd:LanguageCode/@codeListValue', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 'eng', 'operator': 'is', 'description': 'Default language of the Metadata OR one of its alternate languages is English'}",eng,5.0
Coordinate Reference System (relevance),West Bound Longitude (relevance),5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:westBoundLongitude', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 5, 'operator': '>', 'description': 'Checks whether the dataset encompasses the right area according to user input.'}",4.56,3.0
